kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,p2048,2048,MULTIPLYOPERANDSCANNING,6250,0.000653956,9557216.668,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,MULTIPLYOPERANDSCANNING,50000,0.001374398,36379566.844,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,MULTIPLYOPERANDSCANNING,50000,0.009029438,5537443.039,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,p2048,2048,MULTIPLYPRODUCTSCANNING,6250,0.003159377,1978237.807,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,p2048,2048,MULTIPLYPRODUCTSCANNING,6250,0.000555342,11254334.317,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,p2048,2048,MULTIPLYPRODUCTSCANNING,6250,0.000652224,9582603.375,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,MULTIPLYPRODUCTSCANNING,50000,0.004142754,12069266.642,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,MULTIPLYPRODUCTSCANNING,50000,0.011787704,4241708.070,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,p2048,2048,MONTGOMERYMULTIPLICATION,6250,0.020581662,303668.386,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,p2048,2048,MONTGOMERYMULTIPLICATION,6250,0.003558580,1756318.384,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,p2048,2048,MONTGOMERYMULTIPLICATION,6250,0.001144329,5461717.805,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,MONTGOMERYMULTIPLICATION,50000,0.000838712,59615196.536,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,MONTGOMERYMULTIPLICATION,50000,0.006799387,7353603.780,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,p2048,2048,COMPARE,6250,0.000052157,119829907.327,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,p2048,2048,COMPARE,6250,0.000008557,730358848.274,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,p2048,2048,COMPARE,6250,0.000015986,390963874.117,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,COMPARE,50000,0.000051025,979914966.005,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,COMPARE,50000,0.005995353,8339792.199,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,p2048,2048,REDUCE,781,0.000027197,28716320.891,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,p2048,2048,REDUCE,781,0.000004840,161377874.164,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,p2048,2048,REDUCE,781,0.000038868,20093502.209,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,REDUCE,50000,0.001172021,42661350.489,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,REDUCE,50000,0.007189418,6954665.688,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,p2048,2048,MODMUL,390,0.000522046,747059.955,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,p2048,2048,MODMUL,390,0.000093976,4150001.021,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,p2048,2048,MODMUL,390,0.000260605,1496515.278,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,MODMUL,50000,0.035105998,1424258.055,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,MODMUL,50000,0.041039473,1218339.234,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,p2048,2048,MODEXP,97,0.208950305,464.225,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,p2048,2048,MODEXP,97,0.043020883,2254.719,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,p2048,2048,MODEXP,97,0.027629427,3510.750,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,MODEXP,50000,7.545618266,6626.362,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,MODEXP,50000,7.543836296,6627.927,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,p2048,2048,EXPONENTIATION,97,0.024208727,4006.819,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,p2048,2048,EXPONENTIATION,97,0.005576585,17394.158,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,p2048,2048,EXPONENTIATION,97,0.075992758,1276.437,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,EXPONENTIATION,50000,2.868636618,17429.883,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,EXPONENTIATION,50000,2.874390768,17394.990,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,p2048,2048,DIVIDE,781,0.000048722,16029774.763,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,p2048,2048,DIVIDE,781,0.000008529,91575223.938,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,p2048,2048,DIVIDE,781,0.000039408,19818427.424,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,DIVIDE,50000,0.038636010,1294129.487,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,DIVIDE,50000,0.046387000,1077888.201,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,p2048,2048,ISQRT,195,0.000082724,2357246.889,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,p2048,2048,ISQRT,195,0.000014618,13339691.299,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,ISQRT,50000,0.204638058,244333.827,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,ISQRT,50000,0.210709952,237293.016,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,p2048,2048,MODMUL_R2,6250,0.008628670,724329.463,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,p2048,2048,MODMUL_R2,6250,0.001510516,4137659.442,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,p2048,2048,MODMUL_R2,6250,0.004233726,1476241.080,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,MODMUL_R2,50000,0.001504641,33230517.530,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,p2048,2048,MODMUL_R2,50000,0.007469201,6694156.448,0
