kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,brainpoolP512r1,512,MODMUL_R2,50000,0.002264713,22077853.303,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,brainpoolP512r1,512,MODMUL_R2,50000,0.002594007,19275197.232,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,brainpoolP512r1,512,MODMUL_R2,50000,0.000035423,1411508829.310,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,brainpoolP512r1,512,MODMUL_R2,50000,0.000756726,66074122.592,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p1024,1024,ADD,12500,0.000226219,55256191.215,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p1024,1024,ADD,12500,0.000313231,39906685.183,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,p1024,1024,ADD,12500,0.000348264,35892284.081,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,ADD,50000,0.002111352,23681510.406,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,ADD,50000,0.002701549,18507899.835,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,ADD,50000,0.000043426,1151379332.383,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,ADD,50000,0.001143015,43743958.256,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p1024,1024,SUBTRACT,12500,0.000184397,67788457.408,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p1024,1024,SUBTRACT,12500,0.000539981,23148948.363,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,p1024,1024,SUBTRACT,12500,0.000648349,19279729.971,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,SUBTRACT,50000,0.002124923,23530263.853,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,SUBTRACT,50000,0.002699526,18521771.531,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,SUBTRACT,50000,0.000043164,1158372520.336,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,SUBTRACT,50000,0.001130536,44226810.569,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p1024,1024,ADDMOD,12500,0.000678495,18423134.520,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p1024,1024,ADDMOD,12500,0.001029380,12143237.163,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,p1024,1024,ADDMOD,12500,0.000975461,12814457.229,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,ADDMOD,50000,0.002136510,23402650.911,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,ADDMOD,50000,0.002715510,18412748.527,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,ADDMOD,50000,0.000060471,826842514.852,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,ADDMOD,50000,0.001158639,43154076.559,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p1024,1024,SUBTRACTMOD,12500,0.000555620,22497390.105,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p1024,1024,SUBTRACTMOD,12500,0.000856069,14601627.167,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,p1024,1024,SUBTRACTMOD,12500,0.000974682,12824695.075,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,SUBTRACTMOD,50000,0.002141598,23347050.465,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,SUBTRACTMOD,50000,0.002718375,18393341.174,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,SUBTRACTMOD,50000,0.000059900,834723051.747,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,SUBTRACTMOD,50000,0.001143686,43718293.013,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p1024,1024,MULTIPLYOPERANDSCANNING,12500,0.002096221,5963113.131,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p1024,1024,MULTIPLYOPERANDSCANNING,12500,0.002036019,6139430.510,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,p1024,1024,MULTIPLYOPERANDSCANNING,12500,0.001963616,6365806.758,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,MULTIPLYOPERANDSCANNING,50000,0.001961668,25488512.551,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,MULTIPLYOPERANDSCANNING,50000,0.003085967,16202377.177,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,MULTIPLYOPERANDSCANNING,50000,0.000147411,339187404.719,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,MULTIPLYOPERANDSCANNING,50000,0.001480311,33776682.571,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p1024,1024,MULTIPLYPRODUCTSCANNING,12500,0.002095835,5964209.825,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p1024,1024,MULTIPLYPRODUCTSCANNING,12500,0.001987997,6287734.447,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,p1024,1024,MULTIPLYPRODUCTSCANNING,12500,0.001980572,6311309.506,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,MULTIPLYPRODUCTSCANNING,50000,0.002361569,21172363.855,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,MULTIPLYPRODUCTSCANNING,50000,0.003495142,14305570.975,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,MULTIPLYPRODUCTSCANNING,50000,0.000560741,89167735.774,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,MULTIPLYPRODUCTSCANNING,50000,0.001914052,26122591.464,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p1024,1024,MONTGOMERYMULTIPLICATION,12500,0.014206168,879899.491,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p1024,1024,MONTGOMERYMULTIPLICATION,12500,0.003646500,3427944.658,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,p1024,1024,MONTGOMERYMULTIPLICATION,12500,0.003203274,3902257.239,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,MONTGOMERYMULTIPLICATION,50000,0.002222920,22492936.515,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,MONTGOMERYMULTIPLICATION,50000,0.002794409,17892869.993,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,MONTGOMERYMULTIPLICATION,50000,0.000095223,525084086.958,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,MONTGOMERYMULTIPLICATION,50000,0.001171427,42682989.641,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p1024,1024,COMPARE,12500,0.000088656,140994654.627,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p1024,1024,COMPARE,12500,0.000209038,59797800.063,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,p1024,1024,COMPARE,12500,0.000201217,62121958.398,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,COMPARE,50000,0.002127687,23499697.298,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,COMPARE,50000,0.002698214,18530776.104,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,COMPARE,50000,0.000041442,1206505712.616,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,COMPARE,50000,0.001135634,44028268.680,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p1024,1024,REDUCE,1562,0.000030909,50535187.651,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p1024,1024,REDUCE,1562,0.000046698,33448950.430,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,p1024,1024,REDUCE,1562,0.000037823,41297795.147,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,REDUCE,50000,0.002414297,20709961.678,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,REDUCE,50000,0.002976072,16800668.683,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,REDUCE,50000,0.000321101,155714278.836,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,REDUCE,50000,0.001417957,35261999.853,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p1024,1024,MODMUL,781,0.000380078,2054838.901,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p1024,1024,MODMUL,781,0.000311927,2503790.934,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,p1024,1024,MODMUL,781,0.000419588,1861350.936,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,MODMUL,50000,0.003537986,14132334.198,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,MODMUL,50000,0.004115193,12150097.982,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,MODMUL,50000,0.001103506,45310131.444,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,MODMUL,50000,0.002200952,22717441.934,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p1024,1024,MODEXP,195,0.062211358,3134.476,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p1024,1024,MODEXP,195,0.003291005,59252.420,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,p1024,1024,MODEXP,195,0.006997816,27865.838,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,MODEXP,50000,0.155933619,320649.263,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,MODEXP,50000,0.157212230,318041.415,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,MODEXP,50000,0.081620524,612591.020,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,MODEXP,50000,0.082794897,603901.955,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p1024,1024,EXPONENTIATION,195,0.008520995,22884.651,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p1024,1024,EXPONENTIATION,195,0.003307190,58962.442,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,p1024,1024,EXPONENTIATION,195,0.008986204,21699.930,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,EXPONENTIATION,50000,0.112892703,442898.422,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,EXPONENTIATION,50000,0.114239115,437678.461,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,EXPONENTIATION,50000,0.101725422,491519.220,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,EXPONENTIATION,50000,0.103192393,484531.840,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p1024,1024,DIVIDE,1562,0.000048359,32300102.034,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p1024,1024,DIVIDE,1562,0.000074366,21004197.692,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,p1024,1024,DIVIDE,1562,0.000034056,45866278.538,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,DIVIDE,50000,0.001525752,32770725.227,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,DIVIDE,50000,0.002898685,17249201.314,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,DIVIDE,50000,0.001538468,32499867.169,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,DIVIDE,50000,0.003166560,15790005.141,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p1024,1024,ISQRT,390,0.000075904,5138082.052,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p1024,1024,ISQRT,390,0.000108198,3604501.859,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,ISQRT,50000,0.022801413,2192846.560,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p1024,1024,ISQRT,50000,0.024054186,2078640.287,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,ISQRT,50000,0.022468016,2225385.631,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p1024,1024,ISQRT,50000,0.024048165,2079160.722,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p1024,1024,MODMUL_R2,12500,0.006167218,2026845.863,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p1024,1024,MODMUL_R2,12500,0.003802203,3287567.868,0
