kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,REDUCE,6250,0.000121244,51549153.081,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,REDUCE,6250,0.000021270,293840944.020,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,REDUCE,6250,0.000268048,23316758.874,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,REDUCE,50000,0.000093098,537069627.762,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,REDUCE,50000,0.001033333,48387106.287,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,MODMUL,3125,0.000268576,11635421.451,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,MODMUL,3125,0.000047389,65943454.745,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,MODMUL,3125,0.000263183,11873877.205,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MODMUL,50000,0.000298404,167558261.407,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MODMUL,50000,0.001239817,40328543.474,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,MODEXP,781,0.007312596,106802.019,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,MODEXP,781,0.001311917,595312.115,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,MODEXP,781,0.002398850,325572.680,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MODEXP,50000,0.005026659,9946964.779,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MODEXP,50000,0.005973003,8370998.819,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,EXPONENTIATION,781,0.002518022,310164.036,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,EXPONENTIATION,781,0.000460287,1696766.260,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,EXPONENTIATION,781,0.006362453,122751.400,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,EXPONENTIATION,50000,0.001452486,34423738.984,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,EXPONENTIATION,50000,0.002424920,20619237.112,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,DIVIDE,6250,0.000284783,21946561.458,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,DIVIDE,6250,0.000049906,125235177.937,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,DIVIDE,6250,0.000261940,23860401.119,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,DIVIDE,50000,0.000117062,427123630.708,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,DIVIDE,50000,0.001307201,38249661.637,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,ISQRT,1562,0.000126037,12393165.038,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,ISQRT,1562,0.000021367,73103891.665,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,ISQRT,50000,0.002213905,22584527.225,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,ISQRT,50000,0.003183308,15706930.997,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,secp256k1,256,MODMUL_R2,50000,0.004366742,11450184.191,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,secp256k1,256,MODMUL_R2,50000,0.000763776,65464238.664,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,secp256k1,256,MODMUL_R2,50000,0.004906397,10190776.819,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MODMUL_R2,50000,0.000032124,1556463375.178,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,secp256k1,256,MODMUL_R2,50000,0.000988532,50580035.490,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,rsa256(composite),256,ADD,50000,0.000965040,51811306.041,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,rsa256(composite),256,ADD,50000,0.000158525,315408447.576,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,rsa256(composite),256,ADD,50000,0.000165933,301326498.880,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,ADD,50000,0.000015011,3330877974.935,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,ADD,50000,0.000971302,51477274.750,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,rsa256(composite),256,SUBTRACT,50000,0.000741012,67475325.303,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,rsa256(composite),256,SUBTRACT,50000,0.000117049,427172908.975,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,rsa256(composite),256,SUBTRACT,50000,0.000145244,344249162.094,0
opencl-kernel,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,SUBTRACT,50000,0.000015004,3332428614.878,0
opencl-e2e,NVIDIA GeForce RTX 5060,GPU,w32-il64,rsa256(composite),256,SUBTRACT,50000,0.000980240,51007925.421,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-1t,rsa256(composite),256,ADDMOD,50000,0.002136949,23397844.484,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,gmp-nt,rsa256(composite),256,ADDMOD,50000,0.000375350,133208837.566,0
library,Intel(R) Core(TM) i5-9400F CPU @ 2.90GHz,host-cpu,openssl-nt,rsa256(composite),256,ADDMOD,50000,0.001710618,29229200.023,0
