kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p2048,2048,MODEXP,50000,1.628501727,30703.068,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p2048,2048,MODEXP,50000,1.637524024,30533.903,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p2048,2048,EXPONENTIATION,97,0.026668117,3637.302,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p2048,2048,EXPONENTIATION,97,0.001946767,49826.197,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,p2048,2048,EXPONENTIATION,97,0.018054237,5372.700,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p2048,2048,EXPONENTIATION,50000,0.941512277,53106.052,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p2048,2048,EXPONENTIATION,50000,0.943831916,52975.534,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p2048,2048,EXPONENTIATION,50000,0.814360008,61397.907,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p2048,2048,EXPONENTIATION,50000,0.816921733,61205.374,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p2048,2048,DIVIDE,781,0.000032462,24058807.226,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p2048,2048,DIVIDE,781,0.000002831,275843299.627,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,p2048,2048,DIVIDE,781,0.000013600,57426579.501,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p2048,2048,DIVIDE,50000,0.011949483,4184281.420,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p2048,2048,DIVIDE,50000,0.015187493,3292182.574,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p2048,2048,DIVIDE,50000,0.011702229,4272690.258,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p2048,2048,DIVIDE,50000,0.014375113,3478233.540,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p2048,2048,ISQRT,195,0.000064863,3006346.712,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p2048,2048,ISQRT,195,0.000005152,37846460.535,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p2048,2048,ISQRT,50000,0.061341605,815107.461,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p2048,2048,ISQRT,50000,0.063678104,785199.255,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p2048,2048,ISQRT,50000,0.052143717,958888.298,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p2048,2048,ISQRT,50000,0.054305574,920715.801,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-1t,p2048,2048,MODMUL_R2,6250,0.010113197,618004.381,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,gmp-nt,p2048,2048,MODMUL_R2,6250,0.000615993,10146218.387,0
library,AMD Eng Sample: 100-000000897-03,host-cpu,openssl-nt,p2048,2048,MODMUL_R2,6250,0.001364545,4580281.456,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-opt,p2048,2048,MODMUL_R2,50000,0.000707170,70704357.331,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-opt,p2048,2048,MODMUL_R2,50000,0.002768446,18060673.797,0
opencl-kernel,NVIDIA H100 80GB HBM3,GPU,w32-o64,p2048,2048,MODMUL_R2,50000,0.000494851,101040508.636,0
opencl-e2e,NVIDIA H100 80GB HBM3,GPU,w32-o64,p2048,2048,MODMUL_R2,50000,0.002601367,19220663.924,0
