kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
library,NVIDIA H100 NVL,gpu,cgbn,p2048,2048,ADD,500000,0.000182560,2738825591.586,0
opencl-kernel,NVIDIA H100 NVL,GPU,w8,p2048,2048,ADD,92400,0.000570456,161975673.608,0
opencl-e2e,NVIDIA H100 NVL,GPU,w8,p2048,2048,ADD,92400,0.004887952,18903622.607,0
opencl-kernel,NVIDIA H100 NVL,GPU,w16,p2048,2048,ADD,92400,0.000281518,328220603.618,0
opencl-e2e,NVIDIA H100 NVL,GPU,w16,p2048,2048,ADD,92400,0.003528851,26184160.464,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32,p2048,2048,ADD,92400,0.000116659,792051795.866,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32,p2048,2048,ADD,92400,0.003306016,27949048.235,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-opt,p2048,2048,ADD,92400,0.000117219,788268147.147,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-opt,p2048,2048,ADD,92400,0.003314532,27877238.859,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-o64,p2048,2048,ADD,92400,0.000124459,742413281.801,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-o64,p2048,2048,ADD,92400,0.003294122,28049962.952,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-1t,p2048,2048,SUBTRACT,62500,0.001826737,34214017.310,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-nt,p2048,2048,SUBTRACT,62500,0.000062223,1004451730.289,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,openssl-nt,p2048,2048,SUBTRACT,62500,0.000076126,821003754.536,0
library,NVIDIA H100 NVL,gpu,cgbn,p2048,2048,SUBTRACT,500000,0.000182368,2741709071.767,0
opencl-kernel,NVIDIA H100 NVL,GPU,w8,p2048,2048,SUBTRACT,92400,0.000571346,161723377.904,0
opencl-e2e,NVIDIA H100 NVL,GPU,w8,p2048,2048,SUBTRACT,92400,0.004874042,18957571.776,0
opencl-kernel,NVIDIA H100 NVL,GPU,w16,p2048,2048,SUBTRACT,92400,0.000281309,328464416.581,0
opencl-e2e,NVIDIA H100 NVL,GPU,w16,p2048,2048,SUBTRACT,92400,0.003532160,26159630.254,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32,p2048,2048,SUBTRACT,92400,0.000116169,795393007.906,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32,p2048,2048,SUBTRACT,92400,0.003303206,27972823.962,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-opt,p2048,2048,SUBTRACT,92400,0.000117869,783921133.112,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-opt,p2048,2048,SUBTRACT,92400,0.003308462,27928385.028,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-o64,p2048,2048,SUBTRACT,92400,0.000122079,756886663.247,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-o64,p2048,2048,SUBTRACT,92400,0.003301841,27984387.830,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-1t,p2048,2048,ADDMOD,62500,0.004051233,15427401.973,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-nt,p2048,2048,ADDMOD,62500,0.000156419,399567895.522,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,openssl-nt,p2048,2048,ADDMOD,62500,0.000838710,74519158.579,0
library,NVIDIA H100 NVL,gpu,cgbn,p2048,2048,ADDMOD,500000,0.000182592,2738345601.122,0
opencl-kernel,NVIDIA H100 NVL,GPU,w8,p2048,2048,ADDMOD,92400,0.000720434,128256022.165,0
opencl-e2e,NVIDIA H100 NVL,GPU,w8,p2048,2048,ADDMOD,92400,0.004967112,18602358.959,0
opencl-kernel,NVIDIA H100 NVL,GPU,w16,p2048,2048,ADDMOD,92400,0.000371768,248542086.225,0
opencl-e2e,NVIDIA H100 NVL,GPU,w16,p2048,2048,ADDMOD,92400,0.003583360,25785854.633,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32,p2048,2048,ADDMOD,92400,0.000144689,638611113.722,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32,p2048,2048,ADDMOD,92400,0.003333661,27717275.336,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-opt,p2048,2048,ADDMOD,92400,0.000165209,559291565.599,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-opt,p2048,2048,ADDMOD,92400,0.003352512,27561422.406,0
opencl-kernel,NVIDIA H100 NVL,GPU,w32-o64,p2048,2048,ADDMOD,92400,0.000170889,540701797.401,0
opencl-e2e,NVIDIA H100 NVL,GPU,w32-o64,p2048,2048,ADDMOD,92400,0.003343761,27633553.743,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-1t,p2048,2048,SUBTRACTMOD,62500,0.003499066,17861909.479,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,gmp-nt,p2048,2048,SUBTRACTMOD,62500,0.000114735,544735807.590,0
library,AMD EPYC 9V84 96-Core Processor,host-cpu,openssl-nt,p2048,2048,SUBTRACTMOD,62500,0.000926395,67465821.445,0
