kind,device,device_type,kernel,modulus,bits,operation,items,seconds,ops_per_sec,mismatches
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-opt,brainpoolP512r1,512,ISQRT,21000,0.006140687,3419812.908,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-opt,brainpoolP512r1,512,ISQRT,21000,0.008184967,2565679.220,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-o64,brainpoolP512r1,512,ISQRT,21000,0.005384790,3899873.524,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-o64,brainpoolP512r1,512,ISQRT,21000,0.006079006,3454512.131,0
library,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,host-cpu,gmp-1t,brainpoolP512r1,512,MODMUL_R2,25000,0.005978288,4181799.114,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w8,brainpoolP512r1,512,MODMUL_R2,25000,0.000889215,28114680.596,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w8,brainpoolP512r1,512,MODMUL_R2,25000,0.001650323,15148550.377,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w16,brainpoolP512r1,512,MODMUL_R2,25000,0.000212015,117916119.297,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w16,brainpoolP512r1,512,MODMUL_R2,25000,0.001131640,22091830.374,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-opt,brainpoolP512r1,512,MODMUL_R2,25000,0.000142481,175462058.890,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-opt,brainpoolP512r1,512,MODMUL_R2,25000,0.000823524,30357339.323,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32-o64,brainpoolP512r1,512,MODMUL_R2,25000,0.000330029,75750906.125,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w32-o64,brainpoolP512r1,512,MODMUL_R2,25000,0.000994558,25136794.929,0
library,Intel(R) Xeon(R) CPU E5-2687W v4 @ 3.00GHz,host-cpu,gmp-1t,p1024,1024,ADD,12500,0.000339241,36846961.316,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w8,p1024,1024,ADD,21000,0.000253473,82849003.422,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w8,p1024,1024,ADD,21000,0.001255704,16723685.275,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w16,p1024,1024,ADD,21000,0.000141300,148620172.779,0
opencl-e2e,NVIDIA TITAN Xp,GPU,w16,p1024,1024,ADD,21000,0.001267512,16567889.225,0
opencl-kernel,NVIDIA TITAN Xp,GPU,w32,p1024,1024,ADD,21000,0.000196706,106758288.748,0
