operation,config,items,bits,kernel_s,e2e_s,noise,kernel_ops_s,e2e_ops_s,speedup
MONTGOMERYMULTIPLICATION,"baseline (fixed)",2048,2048,0.018489811,0.017995676,0.0334,110763.707,113805.116,1.0000
MONTGOMERYMULTIPLICATION,"opt (no flags)",2048,2048,0.015988233,0.016437354,0.0780,128094.205,124594.263,1.1565
MONTGOMERYMULTIPLICATION,"only mul_hi",2048,2048,0.030125132,0.030271957,0.0119,67983.105,67653.373,0.6138
MONTGOMERYMULTIPLICATION,"only reg accum",2048,2048,0.017139662,0.017217043,0.0195,119488.937,118951.901,1.0788
MONTGOMERYMULTIPLICATION,"only fused CIOS",2048,2048,0.006762133,0.007020874,0.0192,302863.017,291701.574,2.7343
MONTGOMERYMULTIPLICATION,"only unroll",2048,2048,0.008439164,0.008603284,0.0128,242678.066,238048.634,2.1910
MONTGOMERYMULTIPLICATION,"only interleaved",2048,2048,0.016699114,0.016157513,0.0540,122641.237,126752.180,1.1072
MONTGOMERYMULTIPLICATION,"cios+reg",2048,2048,0.006850063,0.006990910,0.0639,298975.352,292951.847,2.6992
MONTGOMERYMULTIPLICATION,"cios+reg+unroll",2048,2048,0.004715770,0.004874734,0.0359,434287.508,420125.488,3.9208
MONTGOMERYMULTIPLICATION,"all but mul_hi",2048,2048,0.005393475,0.005524609,0.0150,379718.085,370704.968,3.4282
MONTGOMERYMULTIPLICATION,"all incl. mul_hi",2048,2048,0.018274973,0.018529865,0.0808,112065.829,110524.281,1.0118
